Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Pac-Man World 2,PS2,2002.0,Action,Namco Bandai Games,1.26,0.05,1.51,26.0,Namco,1240,Winter
Mega Man 2,NES,1988.0,Action,Capcom,0.93,0.15,1.51,,,1246,Winter
NBA Live 98,PS,1997.0,Sports,Electronic Arts,1.41,0.06,1.51,,,1248,Fall
The Simpsons Game,PS2,2007.0,Action,Electronic Arts,0.35,0.03,1.51,27.0,Electronic Arts,1249,Fall
The Simpsons Game,DS,2007.0,Action,Electronic Arts,0.56,0.77,1.51,18.0,Griptonite Games,1251,Fall
SoulCalibur II,GC,2003.0,Fighting,Namco Bandai Games,0.99,0.32,1.5,135.0,Namco,1254,Summer
Ice Climber,NES,1985.0,Platform,Nintendo,0.46,0.1,1.5,,,1262,Winter
Sonic CD,SCD,1993.0,Platform,Sega,1.0,0.36,1.5,,,1263,Fall
Medal of Honor: Frontline,XB,2002.0,Shooter,Electronic Arts,1.0,0.43,1.49,23.0,EA LA,1268,Spring
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,Ubisoft,0.82,0.59,1.48,68.0,Ubisoft Shanghai,1289,Spring
Mortal Kombat 4,PS,1998.0,Fighting,GT Interactive,0.81,0.55,1.46,,,1306,Fall
Mass Effect 2,PS3,2011.0,Role-Playing,Electronic Arts,0.78,0.45,1.45,1081.0,BioWare,1322,Winter
Sonic & Sega All-Stars Racing,Wii,2010.0,Racing,Sega,0.61,0.68,1.44,,,1329,Winter
My Word Coach,DS,2007.0,Misc,Ubisoft,0.37,0.89,1.44,5.0,Ubisoft,1331,Fall
Disney Princess: Magical Jewels,DS,2007.0,Adventure,Disney Interactive Studios,1.12,0.19,1.43,,1st Playable Productions,1341,Fall
BioShock,PS3,2008.0,Shooter,Take-Two Interactive,0.75,0.46,1.42,881.0,"Digital Extremes, 2K Marin",1347,Summer
Mass Effect 3,PS3,2012.0,Role-Playing,Electronic Arts,0.63,0.56,1.42,1849.0,BioWare,1348,Spring
Metal Gear Rising: Revengeance,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.37,1.42,746.0,PlatinumGames,1358,Winter
LEGO Star Wars: The Video Game,GC,2005.0,Action,Eidos Interactive,1.09,0.28,1.41,,,1363,Spring
The Sims 3,Wii,2010.0,Simulation,Electronic Arts,0.57,0.69,1.41,31.0,The Sims Studio,1368,Summer
Final Fantasy III,NES,1990.0,Role-Playing,SquareSoft,0.0,0.0,1.4,,,1383,Spring
Tomb Raider (2013),PS4,2014.0,Action,Square Enix,0.47,0.65,1.4,,,1384,Spring
Madden NFL 2002,PS,2001.0,Sports,Electronic Arts,0.78,0.53,1.39,7.0,EA Sports,1387,Summer
Injustice: Gods Among Us,X360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,1.38,362.0,NetherRealm Studios,1393,Spring
LEGO Batman 2: DC Super Heroes,Wii,2012.0,Action,Warner Bros. Interactive Entertainment,0.9,0.37,1.38,12.0,TT Games,1396,Summer
True Crime: Streets of LA,XB,2003.0,Action,Activision,0.96,0.37,1.38,28.0,"Luxoflux, Inc.",1397,Fall
Bravely Default: Flying Fairy,3DS,2012.0,Role-Playing,Nintendo,0.5,0.32,1.38,,,1399,Fall
