Name,Steam_App_ID,Position,Release_Date,Release_Season
Alan Wake,108710.0,12277,2012-02-16,Winter
Assetto Corsa,244210.0,12393,2014-12-19,Winter
Call of Duty 2,2630.0,12531,2005-10-25,Fall
S.T.A.L.K.E.R.: Call of Pripyat,41700.0,12574,2010-02-11,Winter
Resident Evil 2,883710.0,12707,2019-01-24,Winter
Street Fighter V,310950.0,12721,2016-02-15,Winter
S.T.A.L.K.E.R.: Shadow of Chernobyl,4500.0,12744,2007-03-20,Spring
Tropico 5,245620.0,12753,2014-05-23,Spring
Rocket League,252950.0,12836,2015-07-07,Summer
Mirror's Edge,17410.0,12847,2009-01-13,Winter
Gothic 3,39500.0,12860,2006-10-13,Fall
7 Days to Die,251570.0,12865,2024-07-25,Summer
Hearts of Iron IV,394360.0,12893,2016-06-06,Summer
F1 2015,286570.0,13011,2015-07-09,Summer
Mortal Kombat X,307780.0,13049,2015-04-13,Spring
The Bureau: XCOM Declassified,65930.0,13094,,
Payday 2,218620.0,13223,2013-08-13,Summer
Far Cry,13520.0,13362,2004-03-23,Spring
XCOM 2,268500.0,13415,2016-02-04,Winter
Company of Heroes,228200.0,13432,2006-09-11,Fall
Resident Evil 6,221040.0,13479,2013-03-22,Spring
Mafia,40990.0,13520,2002-08-28,Summer
Resident Evil 6,221040.0,13677,2013-03-22,Spring
Stellaris,281990.0,13746,2016-05-09,Spring
Terraria,105600.0,13789,2011-05-16,Spring
Company of Heroes: Opposing Fronts,9340.0,13791,2007-09-27,Fall
Grand Theft Auto: Vice City,12110.0,13877,2003-05-13,Spring
APB Reloaded,113400.0,14014,2011-12-06,Winter
Saints Row 2,9480.0,14061,2009-01-28,Winter
S.T.A.L.K.E.R.: Clear Sky,20510.0,14122,2008-09-15,Fall
Burnout Paradise: The Ultimate Box,24740.0,14175,2009-02-03,Winter
Hitman: Blood Money,6860.0,14207,2006-05-30,Spring
Prey,480490.0,14294,2017-05-04,Spring
Deus Ex: Mankind Divided,337000.0,14342,2016-08-23,Summer
The Binding of Isaac,113200.0,14380,2011-09-28,Fall
DiRT Rally,310560.0,14403,2015-12-07,Winter
Prison Architect,233450.0,14407,2015-10-06,Fall
Terraria,105600.0,14574,2011-05-16,Spring
Doom,379720.0,14613,2016-05-12,Spring
Resident Evil 4,2050650.0,14659,2023-03-23,Spring
World of Tanks,1407200.0,14688,2021-04-28,Spring
The Talos Principle,257510.0,14711,2014-12-11,Winter
Braid,26800.0,14717,2009-04-10,Spring
Magicka,42910.0,14859,2011-01-25,Winter
Bully: Scholarship Edition,12200.0,14907,2008-10-21,Fall
Star Trek Online,9900.0,15173,2010-02-02,Winter
Left 4 Dead,500.0,15294,2008-11-17,Fall
Dungeon Defenders,65800.0,15325,2011-10-18,Fall
Sniper Elite V2,63380.0,15380,,
Mount & Blade: Warband,48700.0,15576,2010-03-31,Spring
Darksiders,50620.0,15652,2010-09-23,Fall
Pillars of Eternity,291650.0,15677,2015-03-26,Spring
This War of Mine,282070.0,15793,2014-11-14,Fall
Just Cause,6880.0,15873,2006-09-22,Fall
Quantum Break,474960.0,16028,2016-09-29,Fall
Just Cause,6880.0,16053,2006-09-22,Fall
Assetto Corsa,244210.0,16069,2014-12-19,Winter
Grand Theft Auto III,12100.0,16194,2002-05-21,Spring
Sherlock Holmes: The Devil's Daughter,350640.0,16284,2016-06-10,Summer
Goat Simulator,265930.0,16397,2014-04-01,Spring
Sherlock Holmes: The Devil's Daughter,350640.0,16504,2016-06-10,Summer
Dungeons 2,262280.0,16531,2015-04-24,Spring
Prison Architect,233450.0,16665,2015-10-06,Fall
Metal Gear Solid V: Ground Zeroes,311340.0,16697,2014-12-18,Winter
