Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
The Elder Scrolls V: Skyrim,72850.0,2769,2011-11-10,Fall,PS,Racing,Sony Computer Entertainment,0.41,0.28,0.74,,,,,
LEGO Marvel Super Heroes,249130.0,2779,2013-11-15,Fall,Wii,Misc,Atari,0.68,0.0,0.74,4.0,TOSE,,,
Brink,22350.0,2807,2011-05-09,Spring,X360,Sports,Electronic Arts,0.61,0.07,0.73,71.0,Electronic Arts,,,
Borderlands: The Pre-Sequel,261640.0,2848,2014-10-14,Fall,PS4,Action,Disney Interactive Studios,0.24,0.37,0.72,,,,,
The Witcher 3: Wild Hunt,292030.0,2852,2015-05-18,Spring,X360,Racing,Codemasters,0.11,0.5,0.72,54.0,Codemasters,,,
Battlefield: Bad Company 2,24960.0,2860,2010-03-02,Spring,X360,Racing,Codemasters,0.23,0.4,0.72,166.0,Codemasters,,,
XCOM: Enemy Unknown,200510.0,2866,2012-10-11,Fall,PSP,Action,D3Publisher,0.23,0.3,0.71,23.0,High Voltage Software,,,
Crysis,17300.0,2869,2007-11-13,Fall,PS,Action,Eidos Interactive,0.23,0.15,0.71,47.0,Capcom,,,
Call of Duty: Ghosts,209160.0,2917,2014-03-25,Spring,PS4,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.7,91.0,TT Games,59.99,68,11710
Mafia,40990.0,2924,2002-08-28,Summer,DS,Adventure,Disney Interactive Studios,0.38,0.25,0.7,,n-Space,,,
